x,y,Ex_mag,Ex_phase,Ey_mag,Ey_phase,Ez_mag,Ez_phase
-0.08,-0.08,9.245576787261444e+18,81.54513748227069,9.311698842265207e+18,83.62731002619451,1.5080572696234803e+20,79.43930981088266
-0.076,-0.08,9.44032821138331e+18,121.16482085859244,1.001253057342753e+19,113.77392405857589,1.549689395691716e+20,112.88676273106081
-0.072,-0.08,9.863129563264377e+18,156.67392492078292,1.0872197888589265e+19,149.363891951,1.571022850443481e+20,145.10152414943718
-0.06799999999999999,-0.08,9.496443663490267e+18,177.433721728933,1.3219238894265006e+19,-179.74948144937363,1.6221306758096283e+20,177.00527959163418
-0.06399999999999999,-0.08,9.984697399687123e+18,-145.96273262843513,1.3059472466898209e+19,-146.03013048797314,1.6633783338067588e+20,-152.5075171343419
-0.059999999999999984,-0.08,1.039841279769052e+19,-118.16426855748733,1.3522083975253625e+19,-116.2045780410187,1.704269901040379e+20,-123.02505787081381
-0.05599999999999998,-0.08,1.054098260234658e+19,-84.67583280913966,1.4357860468418245e+19,-89.8296870032477,1.7452492143230334e+20,-95.15364862876032
-0.05199999999999998,-0.08,9.602795821178884e+18,-62.138981320527314,1.5610241576403591e+19,-65.3377681703903,1.782076228844544e+20,-68.28378388522007
-0.04799999999999997,-0.08,9.350595429037722e+18,-37.76802854840805,1.7548505965014882e+19,-37.51750639513376,1.8164359764712335e+20,-43.10614136392364
-0.04399999999999997,-0.08,9.58596043840103e+18,-11.04341618575987,1.8137749379004606e+19,-12.76181590321972,1.85887497743475e+20,-19.079662831306592
-0.039999999999999966,-0.08,9.700838924694716e+18,7.817943566206668,1.95168445017014e+19,9.882112718222633,1.901308963361669e+20,2.992292892335131
-0.03599999999999996,-0.08,9.463274349676444e+18,33.186999991239354,1.979058610781012e+19,28.8249112118082,1.938140513186012e+20,23.643918835606733
-0.03199999999999996,-0.08,8.688925967128761e+18,51.37056626502213,2.1358360198052553e+19,48.68568158705547,1.9575800986817393e+20,42.02189653648645
-0.027999999999999955,-0.08,8.170853953314489e+18,69.19446100592616,2.304254353835125e+19,66.25467140113084,1.9883214090689236e+20,58.92778620000025
-0.023999999999999952,-0.08,7.253740975314538e+18,83.34374311880632,2.302934321428641e+19,81.52380788821111,2.0255849177063388e+20,73.72375563561879
-0.01999999999999995,-0.08,6.456846337777374e+18,93.33589824443038,2.472474402283084e+19,92.95641334429055,2.0413961448137182e+20,86.41395371685174
-0.015999999999999945,-0.08,4.646597098170744e+18,102.94247448499247,2.464176280252236e+19,102.61399709607555,2.0677259805568726e+20,97.05565835103569
-0.011999999999999941,-0.08,3.881575249200459e+18,108.24949383242824,2.5818165304287187e+19,110.93876857172548,2.0819767337701117e+20,105.22784070709821
-0.007999999999999938,-0.08,2.619853715779492e+18,117.65215545836261,2.6100181189451907e+19,116.9036485244427,2.1001884544558586e+20,111.12299093410631
-0.003999999999999934,-0.08,9.635274719523173e+17,154.6775615561766,2.665554944995967e+19,122.34105005729795,2.1138402912796662e+20,114.78788758414416
6.938893903907228e-17,-0.08,5.7490051350291104e+17,68.0831984135335,2.744029774609636e+19,123.60557270286878,2.106347367185728e+20,115.6732607060866
0.004000000000000073,-0.08,1.9182525151388846e+18,-59.88740076440967,2.643123868704155e+19,120.84593167766687,2.1125237058812723e+20,114.51606035670329
0.008000000000000076,-0.08,2.8607174965379313e+18,-53.12730488941809,2.56212796240467e+19,117.03033488131612,2.1014944552629738e+20,110.8467975105973
